ID,Age,Experience,ZIP Code,Family,Education,Mortgage,Securities Account,CD Account,Online,CreditCard,Personal Loan
3510,38,12,91330,3,3,0,0,0,0,0,0
1129,30,5,94025,2,2,0,0,0,0,0,1
1637,65,39,92122,4,3,0,0,0,0,1,0
3165,28,4,95136,4,1,0,0,0,1,1,0
3563,32,8,94596,1,3,272,1,1,1,0,1
1169,62,37,91706,1,3,0,0,0,1,0,0
643,50,24,94132,1,1,0,0,0,1,0,0
3776,32,6,90275,2,3,0,0,0,1,1,0
4271,45,19,93117,3,1,94,0,0,1,1,0
4610,54,28,95006,4,3,143,0,0,0,0,0
3103,49,25,90095,4,2,0,0,0,0,1,0
1486,34,9,90245,4,2,155,0,0,1,0,0
3575,56,30,95123,3,2,0,0,0,0,1,0
4060,53,27,91330,4,3,0,0,0,1,0,0
3835,48,22,94720,1,3,75,0,0,1,0,0
3665,48,24,91791,3,2,0,0,0,1,0,0
1473,34,8,94710,3,2,83,0,0,1,0,0
4440,33,7,94542,2,3,0,0,0,0,1,1
3493,35,9,94546,1,3,0,0,0,0,1,0
2321,46,22,92692,4,3,0,0,0,1,0,0
3124,44,17,94546,3,2,126,0,0,1,1,0
4341,34,10,90024,2,1,0,1,1,0,1,0
121,54,29,90057,2,3,0,0,0,1,0,0
1015,50,26,90245,2,3,301,0,1,1,1,1
4539,51,24,94305,3,2,0,0,0,0,0,0
470,48,23,94609,2,3,0,0,0,1,1,0
1463,47,21,95207,4,3,77,0,0,1,0,0
4640,51,25,92866,3,3,0,0,0,1,1,0
4352,30,3,94132,1,2,0,0,0,1,1,0
4370,50,25,94005,4,2,103,0,0,1,1,0
3014,45,21,90029,2,1,0,0,0,1,1,0
2459,46,20,93108,2,3,0,0,0,1,1,0
3536,52,27,92104,1,1,0,0,0,1,1,0
3246,47,22,90009,4,3,0,0,0,1,1,0
4209,56,32,95064,1,3,241,0,0,1,0,0
3229,27,2,94305,2,2,0,0,0,0,1,0
1785,54,29,91355,3,1,0,1,1,0,0,1
2247,35,11,92093,3,2,266,0,0,0,0,1
1799,44,20,94086,3,1,0,0,0,1,0,1
359,30,6,94539,2,1,0,0,0,1,0,0
315,63,37,93437,2,3,0,0,0,1,0,0
3803,31,7,95616,4,2,0,0,0,1,0,0
3343,38,13,91330,3,3,121,0,0,1,1,0
3198,34,10,93555,1,2,0,0,0,1,0,0
455,50,24,94110,3,3,0,0,0,0,0,0
522,48,24,92518,4,2,0,0,0,1,0,0
4372,64,39,90024,4,2,0,0,0,1,0,0
2406,57,32,94588,4,2,78,1,0,1,0,0
421,47,22,93105,4,3,0,0,0,1,1,0
2633,50,24,94720,1,1,248,0,0,1,0,0
3584,30,3,95112,4,2,85,0,0,0,0,0
4810,43,19,94501,3,2,0,0,0,0,0,0
508,64,40,91380,3,3,0,0,0,1,0,0
2389,64,39,91768,3,1,0,1,0,0,0,0
4098,60,34,95670,2,1,0,0,0,0,0,0
159,32,6,94720,2,3,0,0,0,1,1,0
1102,42,17,90095,3,3,0,0,0,0,0,0
3992,64,38,94571,1,1,0,0,0,0,0,0
4390,58,32,90057,1,1,0,1,1,1,1,0
776,65,39,92835,3,2,0,0,0,0,1,0
3361,48,24,90740,1,1,0,0,0,0,0,0
1837,44,19,90041,4,3,0,0,0,0,0,0
3297,63,37,94080,1,2,0,0,0,1,0,1
1047,51,26,94105,4,2,0,0,0,0,0,0
419,27,0,90089,4,3,0,0,0,0,0,0
2585,59,34,94606,3,2,0,0,0,1,0,1
338,57,27,94117,1,3,0,0,0,1,0,0
4504,45,21,92374,3,1,108,0,0,1,0,0
4067,61,37,94122,3,3,0,0,0,1,0,0
1096,50,25,92129,1,3,137,0,0,1,0,0
4828,30,6,91203,1,1,230,0,0,1,0,0
1861,30,6,91103,3,1,142,0,0,1,0,1
2039,50,24,94551,1,1,0,0,0,1,1,0
4289,42,17,94010,1,3,0,0,0,0,1,0
2521,56,29,90095,4,2,113,0,0,1,0,0
4021,58,32,93943,4,3,194,0,0,0,1,1
2683,53,27,90032,4,3,0,0,0,1,0,0
3721,63,39,92521,3,3,229,0,0,1,0,1
490,53,28,91380,2,3,0,0,1,1,1,0
3596,38,14,90025,2,2,79,0,0,0,0,0
3999,34,10,94102,1,1,0,0,0,0,1,0
3890,26,0,93014,1,2,121,0,0,1,0,0
3404,54,29,94709,3,2,0,0,0,1,0,1
3516,50,26,94143,2,1,508,0,0,0,0,0
2416,45,21,94143,4,1,106,0,0,1,1,0
2526,32,8,95816,1,1,0,0,0,1,1,0
3364,58,34,93003,4,2,0,0,0,1,0,0
2033,62,37,90266,3,1,0,1,0,0,1,0
1717,32,8,91330,2,1,565,0,0,1,0,0
2577,60,36,93711,4,1,118,0,0,1,1,0
4156,55,30,90291,4,3,149,0,0,1,1,0
2702,50,26,94305,1,2,0,0,0,1,0,0
1858,37,13,94066,1,2,0,0,0,0,1,0
102,61,36,94608,3,2,0,0,0,0,0,0
1758,33,9,90630,1,1,0,0,0,1,1,0
4756,59,35,93106,2,1,0,0,0,1,0,0
4746,49,23,94085,1,1,0,0,0,1,1,0
4524,29,4,94040,4,2,0,0,0,1,0,0
2541,49,23,95521,4,1,153,0,0,1,0,0
4178,47,23,93106,1,2,0,0,0,0,1,0
1401,32,8,90401,4,2,0,0,0,1,0,0
569,34,9,92101,2,1,161,0,0,1,1,0
3213,61,35,92697,1,2,0,0,0,0,0,0
2239,48,22,92709,1,3,0,0,0,1,0,0
3348,65,41,92109,3,3,0,0,1,1,1,0
4154,50,26,94608,2,1,0,0,0,1,0,0
2964,29,3,94588,1,3,0,0,0,1,1,0
1008,44,19,95064,3,3,357,0,0,0,0,1
1972,42,17,95616,4,2,203,0,0,0,1,0
197,48,24,93407,1,1,0,0,0,0,1,0
2486,61,36,94025,3,1,0,0,0,0,1,0
1465,28,4,92333,2,1,0,0,0,1,0,0
4254,54,28,90601,3,2,0,0,0,1,1,0
2390,27,1,90033,1,3,0,0,0,0,1,0
2327,45,19,94086,4,1,0,0,0,0,0,0
362,43,19,90254,2,1,0,0,0,1,0,0
1303,42,16,94087,3,3,0,0,0,0,0,0
1609,36,10,94608,2,1,98,0,0,1,0,0
2041,41,16,94720,3,3,0,0,0,0,0,0
4314,52,28,94596,1,2,0,0,0,1,1,0
3814,62,37,91343,3,2,97,0,0,1,0,0
3892,65,40,94701,3,2,0,0,0,1,0,0
2268,38,13,92647,2,3,0,0,0,0,0,1
3943,42,17,90095,1,2,170,0,0,1,0,0
2187,26,2,96001,2,1,0,0,0,1,0,0
684,40,16,91311,1,2,0,0,0,0,0,0
3116,31,5,94305,2,1,0,0,0,0,0,0
127,31,5,92096,2,1,101,0,0,1,1,0
2471,33,7,92122,2,3,187,0,1,1,1,0
3609,59,35,94025,1,1,553,0,0,0,0,0
1487,35,9,93022,2,2,0,0,0,0,0,1
381,63,33,94305,1,3,0,0,0,1,1,0
2013,57,31,93943,1,1,0,0,0,1,1,0
3636,58,33,95616,2,2,0,0,0,1,0,0
4436,46,21,90840,2,1,116,0,0,0,0,0
1084,28,3,95014,3,3,0,1,0,0,0,0
867,44,20,94611,4,1,0,0,0,1,0,0
877,40,14,94025,2,1,0,0,0,1,0,0
2617,56,31,92182,2,3,103,0,0,1,0,0
